Transaction Date,Fee Classification,Fee Name,Order No.,Order Item No.,Amount,WHT Amount,Statement,Payment Ref ID
2026-01-02,Orders-Sales,Item Price Credit,747557871,747557871-1,62.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Lazada Fees,Commission,747557871,747557871-1,-2.81,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Lazada Fees,Payment Fee,747557871,747557871-1,-2.04,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Logistics,Shipping Fee (Paid By Customer),747557871,747557871-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Logistics,Shipping Fee Paid by Seller,747557871,747557871-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Sales,Item Price Credit,752869702,752869702-1,35.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Marketing Fees,Seller Funded Marketing Voucher,752869702,752869702-1,-1.79,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Marketing Fees,Lazcoin discount,752869702,752869702-1,-0.72,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Marketing Fees,Promotional Charges Flexi-Combo,752869702,752869702-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Lazada Fees,Commission,752869702,752869702-1,-1.53,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Lazada Fees,Payment Fee,752869702,752869702-1,-1.17,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Logistics,Shipping Fee (Paid By Customer),752869702,752869702-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Logistics,Shipping Fee Paid by Seller,752869702,752869702-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Logistics,Shipping Fee Voucher (by Lazada),752869702,752869702-1,1.25,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Sales,Item Price Credit,774040146,774040146-1,35.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Marketing Fees,Lazcoin discount,774040146,774040146-1,-0.72,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Marketing Fees,Promotional Charges Flexi-Combo,774040146,774040146-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Lazada Fees,Commission,774040146,774040146-1,-1.62,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Lazada Fees,Payment Fee,774040146,774040146-1,-1.17,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Logistics,Shipping Fee (Paid By Customer),774040146,774040146-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Logistics,Shipping Fee Paid by Seller,774040146,774040146-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Sales,Item Price Credit,793200642,793200642-1,12.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Lazada Fees,Commission,793200642,793200642-1,-0.58,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Lazada Fees,Payment Fee,793200642,793200642-1,-0.42,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Logistics,Shipping Fee (Paid By Customer),793200642,793200642-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Logistics,Shipping Fee Paid by Seller,793200642,793200642-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Sales,Item Price Credit,794412114,794412114-1,210.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Marketing Fees,Seller Funded Marketing Voucher,794412114,794412114-1,-10.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Lazada Fees,Commission,794412114,794412114-1,-8.98,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Orders-Lazada Fees,Payment Fee,794412114,794412114-1,-6.87,0.00,2026-01-31,PAY-SG-20260131
