Order ID,Order Creation Date,Release Time,Order Status,Product Price,Seller Voucher,Shopee Discount,Shopee Coins Redeemed,Shipping Fee Paid by Buyer,Shipping Fee Rebate From Shopee,Shipping Fee Borne by Seller,Actual Shipping Fee,Reverse Shipping Fee,Commission Fee,Transaction Fee,Service Fee,AMS Commission Fee,Product Service Tax (GST),Shipping Fee Service Tax (GST),Withholding Tax,Refund Amount,Final Amount
250101649677,2026-01-01,2026-01-17,Completed,129.00,-12.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.39,-2.93,-2.44,0.00,-0.79,0.00,0.00,0.00,103.55
250101328613,2026-01-01,2026-01-11,Completed,210.00,-21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.39,-4.77,-3.97,0.00,-1.29,0.00,0.00,0.00,168.58
250101818082,2026-01-01,2026-01-14,Completed,12.90,-0.64,0.00,-0.26,0.00,0.00,0.00,0.00,0.00,-0.67,-0.29,-0.26,0.00,-0.08,0.00,0.00,0.00,10.70
250102977264,2026-01-02,2026-01-15,Completed,19.50,0.00,0.00,0.00,2.50,1.00,-3.00,-2.87,0.00,-1.07,-0.50,-0.41,0.00,-0.13,-0.27,0.00,0.00,14.75
250102402572,2026-01-02,2026-01-18,Completed,48.00,0.00,-2.40,0.00,0.00,0.00,0.00,0.00,0.00,-2.64,-1.09,-1.01,0.00,-0.33,0.00,-0.48,0.00,40.05
250102150167,2026-01-02,2026-01-10,Completed,210.00,0.00,0.00,-4.20,0.00,0.00,0.00,0.00,0.00,-11.55,-4.77,-4.41,0.00,-1.44,0.00,0.00,0.00,183.63
250102803387,2026-01-02,2026-01-17,Completed,12.90,0.00,-0.64,0.00,3.90,1.56,-4.68,-4.48,0.00,-0.71,-0.38,-0.27,0.00,-0.09,-0.42,0.00,0.00,6.69
250102494558,2026-01-02,2026-01-16,Completed,12.90,-1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.64,-0.29,-0.24,0.00,-0.08,0.00,-0.12,0.00,10.24
250102662307,2026-01-02,2026-01-12,Completed,19.50,0.00,-0.97,0.00,2.50,1.00,-3.00,-2.87,0.00,-1.07,-0.50,-0.41,0.00,-0.13,-0.27,-0.19,0.00,13.59
250103923520,2026-01-03,2026-01-11,Completed,62.50,-3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.27,-1.42,-1.25,0.00,-0.41,0.00,0.00,0.00,53.03
250103434236,2026-01-03,2026-01-11,Completed,210.00,-21.00,0.00,-4.20,0.00,0.00,0.00,0.00,0.00,-10.39,-4.77,-3.97,0.00,-1.29,0.00,0.00,0.00,164.38
250104968711,2026-01-04,2026-01-14,Completed,129.00,-6.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.74,-2.93,-2.57,-12.25,-0.84,0.00,0.00,0.00,97.22
250105914541,2026-01-05,2026-01-19,Completed,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.32,-0.54,-0.50,0.00,-0.16,0.00,0.00,0.00,21.48
250105140085,2026-01-05,2026-01-13,Cancelled,48.00,0.00,0.00,0.00,2.50,1.00,-3.00,-2.87,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-48.00,-4.87
250105492285,2026-01-05,2026-01-15,Completed,62.50,-3.12,-3.12,-1.25,2.50,1.00,-3.00,-2.87,0.00,-3.27,-1.48,-1.25,0.00,-0.41,-0.27,0.00,0.00,45.96
250105408117,2026-01-05,2026-01-20,Completed,35.90,0.00,-1.79,0.00,3.90,1.56,-4.68,-4.48,0.00,-1.97,-0.90,-0.75,0.00,-0.24,-0.42,0.00,0.00,26.13
250105868359,2026-01-05,2026-01-18,Completed,19.50,0.00,0.00,0.00,2.50,1.00,-3.00,-2.87,0.00,-1.07,-0.50,-0.41,0.00,-0.13,-0.27,0.00,0.00,14.75
250105565202,2026-01-05,2026-01-15,Completed,129.00,-12.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.39,-2.93,-2.44,0.00,-0.79,0.00,0.00,0.00,103.55
250106714206,2026-01-06,2026-01-17,Cancelled,210.00,0.00,-10.50,0.00,0.00,0.00,0.00,0.00,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-210.00,-13.00
250106431054,2026-01-06,2026-01-13,Completed,89.00,-8.90,0.00,-1.78,2.50,1.00,-3.00,-2.87,0.00,-4.41,-2.08,-1.68,0.00,-0.55,-0.27,-0.80,0.00,66.16
250106377941,2026-01-06,2026-01-21,Completed,24.00,0.00,0.00,-0.48,0.00,0.00,0.00,0.00,0.00,-1.32,-0.54,-0.50,0.00,-0.16,0.00,0.00,0.00,21.00
250106909899,2026-01-06,2026-01-13,Completed,129.00,-6.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.74,-2.93,-2.57,0.00,-0.84,0.00,0.00,0.00,109.47
250107154470,2026-01-07,2026-01-20,Completed,12.90,0.00,0.00,-0.26,0.00,0.00,0.00,0.00,0.00,-0.71,-0.29,-0.27,0.00,-0.09,0.00,0.00,0.00,11.28
250107119194,2026-01-07,2026-01-22,Completed,129.00,0.00,0.00,0.00,2.50,1.00,-3.00,-2.87,0.00,-7.09,-2.99,-2.71,-12.90,-0.88,-0.27,-1.29,0.00,98.50
250107395248,2026-01-07,2026-01-17,Completed,62.50,0.00,-3.12,0.00,0.00,0.00,0.00,0.00,0.00,-3.44,-1.42,-1.31,0.00,-0.43,0.00,0.00,0.00,52.78
250108427749,2026-01-08,2026-01-21,Completed,48.00,-2.40,-2.40,0.00,3.90,1.56,-4.68,-4.48,0.00,-2.51,-1.18,-0.96,-4.56,-0.31,-0.42,0.00,0.00,29.56
250108954415,2026-01-08,2026-01-22,Completed,210.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.55,-4.77,-4.41,-21.00,-1.44,0.00,0.00,0.00,166.83
250108384193,2026-01-08,2026-01-17,Completed,89.00,-8.90,-4.45,-1.78,3.90,1.56,-4.68,-4.48,0.00,-4.41,-2.11,-1.68,0.00,-0.55,-0.42,0.00,0.00,61.00
250109100228,2026-01-09,2026-01-22,Completed,89.00,-4.45,0.00,-1.78,0.00,0.00,0.00,0.00,0.00,-4.65,-2.02,-1.78,0.00,-0.58,0.00,0.00,0.00,73.74
250110932862,2026-01-10,2026-01-24,Completed,35.90,0.00,0.00,0.00,3.90,1.56,-4.68,-4.48,0.00,-1.97,-0.90,-0.75,0.00,-0.24,-0.42,0.00,0.00,27.92
250110836952,2026-01-10,2026-01-24,Completed,24.00,-2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.19,-0.54,-0.45,0.00,-0.15,0.00,0.00,0.00,19.27
250110196342,2026-01-10,2026-01-20,Completed,24.00,-1.20,-1.20,0.00,0.00,0.00,0.00,0.00,0.00,-1.25,-0.54,-0.48,-2.28,-0.16,0.00,0.00,0.00,16.89
250110943944,2026-01-10,2026-01-25,Completed,62.50,0.00,-3.12,-1.25,0.00,0.00,0.00,0.00,0.00,-3.44,-1.42,-1.31,0.00,-0.43,0.00,0.00,0.00,51.53
250110596600,2026-01-10,2026-01-26,Completed,19.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.07,-0.44,-0.41,-1.95,-0.13,0.00,0.00,0.00,15.50
