Transaction Date,Transaction Type,Transaction Number,Order Number,Order Item ID,Item Name,Comment,Amount,Statement Period
2026-01-11,Item Price Credit,MY100000,736057349,736057349-1,Cotton Tote Bag,,35.90,05 Jan 2026 - 11 Jan 2026
2026-01-11,Commission,MY100001,736057349,736057349-1,Cotton Tote Bag,,-1.62,05 Jan 2026 - 11 Jan 2026
2026-01-11,Payment Fee,MY100002,736057349,736057349-1,Cotton Tote Bag,,-1.17,05 Jan 2026 - 11 Jan 2026
2026-01-11,Promotional Charges Bundles,MY100003,736057349,736057349-1,Cotton Tote Bag,,-1.79,05 Jan 2026 - 11 Jan 2026
2026-01-08,Item Price Credit,MY100004,771854285,771854285-1,Cotton Tote Bag,,210.00,05 Jan 2026 - 11 Jan 2026
2026-01-08,Commission,MY100005,771854285,771854285-1,Cotton Tote Bag,,-9.45,05 Jan 2026 - 11 Jan 2026
2026-01-08,Payment Fee,MY100006,771854285,771854285-1,Cotton Tote Bag,,-6.87,05 Jan 2026 - 11 Jan 2026
2026-01-08,Promotional Charges Flexi-Combo,MY100007,771854285,771854285-1,Cotton Tote Bag,,-10.50,05 Jan 2026 - 11 Jan 2026
2026-01-10,Item Price Credit,MY100008,772294029,772294029-1,Stainless Straw Set,,19.50,05 Jan 2026 - 11 Jan 2026
2026-01-10,Commission,MY100009,772294029,772294029-1,Stainless Straw Set,,-0.88,05 Jan 2026 - 11 Jan 2026
2026-01-10,Payment Fee,MY100010,772294029,772294029-1,Stainless Straw Set,,-0.64,05 Jan 2026 - 11 Jan 2026
2026-01-10,Promotional Charges Flexi-Combo,MY100011,772294029,772294029-1,Stainless Straw Set,,-0.97,05 Jan 2026 - 11 Jan 2026
2026-01-09,Item Price Credit,MY100012,763075695,763075695-1,Cotton Tote Bag,,35.90,05 Jan 2026 - 11 Jan 2026
2026-01-09,Commission,MY100013,763075695,763075695-1,Cotton Tote Bag,,-1.62,05 Jan 2026 - 11 Jan 2026
2026-01-09,Payment Fee,MY100014,763075695,763075695-1,Cotton Tote Bag,,-1.17,05 Jan 2026 - 11 Jan 2026
2026-01-09,LCP Fee,MY100015,763075695,763075695-1,Cotton Tote Bag,,-1.79,05 Jan 2026 - 11 Jan 2026
2026-01-09,Campaign Fee,MY100016,763075695,763075695-1,Cotton Tote Bag,,-0.72,05 Jan 2026 - 11 Jan 2026
2026-01-09,Item Price Credit,MY100017,734750282,734750282-1,Stainless Straw Set,,62.50,05 Jan 2026 - 11 Jan 2026
2026-01-09,Commission,MY100018,734750282,734750282-1,Stainless Straw Set,,-2.81,05 Jan 2026 - 11 Jan 2026
2026-01-09,Payment Fee,MY100019,734750282,734750282-1,Stainless Straw Set,,-2.04,05 Jan 2026 - 11 Jan 2026
2026-01-06,Item Price Credit,MY100020,710601608,710601608-1,Cotton Tote Bag,,129.00,05 Jan 2026 - 11 Jan 2026
2026-01-06,Commission,MY100021,710601608,710601608-1,Cotton Tote Bag,,-5.80,05 Jan 2026 - 11 Jan 2026
2026-01-06,Payment Fee,MY100022,710601608,710601608-1,Cotton Tote Bag,,-4.22,05 Jan 2026 - 11 Jan 2026
2026-01-06,Promotional Charges Flexi-Combo,MY100023,710601608,710601608-1,Cotton Tote Bag,,-6.45,05 Jan 2026 - 11 Jan 2026
2026-01-06,Seller Picks Commission,MY100024,710601608,710601608-1,Cotton Tote Bag,,-3.87,05 Jan 2026 - 11 Jan 2026
2026-01-10,Item Price Credit,MY100025,759258335,759258335-1,Cotton Tote Bag,,24.00,05 Jan 2026 - 11 Jan 2026
2026-01-10,Commission,MY100026,759258335,759258335-1,Cotton Tote Bag,,-1.08,05 Jan 2026 - 11 Jan 2026
2026-01-10,Payment Fee,MY100027,759258335,759258335-1,Cotton Tote Bag,,-0.78,05 Jan 2026 - 11 Jan 2026
2026-01-10,Promotional Charges Vouchers,MY100028,759258335,759258335-1,Cotton Tote Bag,,-1.20,05 Jan 2026 - 11 Jan 2026
2026-01-05,Item Price Credit,MY100029,749985067,749985067-1,Cotton Tote Bag,,62.50,05 Jan 2026 - 11 Jan 2026
2026-01-05,Commission,MY100030,749985067,749985067-1,Cotton Tote Bag,,-2.81,05 Jan 2026 - 11 Jan 2026
2026-01-05,Payment Fee,MY100031,749985067,749985067-1,Cotton Tote Bag,,-2.04,05 Jan 2026 - 11 Jan 2026
2026-01-05,Promotional Charges Vouchers,MY100032,749985067,749985067-1,Cotton Tote Bag,,-3.12,05 Jan 2026 - 11 Jan 2026
2026-01-09,Item Price Credit,MY100033,710278307,710278307-1,Cotton Tote Bag,,24.00,05 Jan 2026 - 11 Jan 2026
2026-01-09,Commission,MY100034,710278307,710278307-1,Cotton Tote Bag,,-1.08,05 Jan 2026 - 11 Jan 2026
2026-01-09,Payment Fee,MY100035,710278307,710278307-1,Cotton Tote Bag,,-0.78,05 Jan 2026 - 11 Jan 2026
2026-01-09,Seller Funded Marketing Voucher,MY100036,710278307,710278307-1,Cotton Tote Bag,,-1.20,05 Jan 2026 - 11 Jan 2026
