Order ID,Order Creation Date,Release Time,Order Status,Product Price,Seller Voucher,Shopee Discount,Shopee Coins Redeemed,Shipping Fee Paid by Buyer,Shipping Fee Rebate From Shopee,Shipping Fee Borne by Seller,Actual Shipping Fee,Reverse Shipping Fee,Commission Fee,Transaction Fee,Service Fee,AMS Commission Fee,Lost Compensation,Product Service Tax (GST),Shipping Fee Service Tax (GST),Withholding Tax,Refund Amount,Final Amount
2601294624,2026-02-01,2026-02-13,Completed,48.00,0.00,-2.40,0.00,5.00,2.00,-6.00,-5.75,0.00,-2.51,-1.09,-0.96,0.00,0.00,-0.36,-0.55,0.00,0.00,35.38
2601146786,2026-02-01,2026-02-13,Completed,89.00,-8.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.41,-2.02,-1.68,0.00,0.00,-0.65,0.00,0.00,0.00,71.34
2602249931,2026-02-02,2026-02-14,Completed,129.00,0.00,-6.45,-2.58,0.00,0.00,0.00,0.00,0.00,-6.74,-2.93,-2.57,0.00,0.00,-0.98,0.00,0.00,0.00,106.75
2602218384,2026-02-02,2026-02-14,Completed,129.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.09,-2.93,-2.71,-12.90,0.00,-1.02,0.00,0.00,0.00,102.35
2603684519,2026-02-03,2026-02-15,Completed,62.50,-3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.27,-1.42,-1.25,-6.25,31.25,-0.48,0.00,0.00,0.00,77.96
2603584971,2026-02-03,2026-02-15,Completed,62.50,-6.25,0.00,0.00,2.50,1.00,-3.00,-2.87,0.00,-3.09,-1.42,-1.18,0.00,0.00,-0.46,-0.27,-0.62,0.00,46.84
2604161414,2026-02-04,2026-02-16,Completed,62.50,-3.12,-3.12,0.00,0.00,0.00,0.00,0.00,0.00,-3.09,-1.42,-1.18,0.00,0.00,-0.46,0.00,0.00,0.00,50.11
2604694638,2026-02-04,2026-02-16,Cancelled,35.90,-1.79,0.00,-0.72,5.00,2.00,-6.00,-5.75,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,-35.90,-10.31
2605649767,2026-02-05,2026-02-17,Completed,62.50,-6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.09,-1.42,-1.18,0.00,0.00,-0.46,0.00,0.00,0.00,50.10
2605115158,2026-02-05,2026-02-17,Completed,48.00,-2.40,0.00,-0.96,2.50,1.00,-3.00,-2.87,0.00,-2.51,-1.09,-0.96,0.00,0.00,-0.36,-0.27,0.00,0.00,37.08
2606609824,2026-02-06,2026-02-18,Completed,89.00,-8.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.41,-2.02,-1.68,0.00,0.00,-0.65,0.00,0.00,0.00,71.34
2606683316,2026-02-06,2026-02-18,Completed,89.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.89,-2.02,-1.87,0.00,0.00,-0.70,0.00,0.00,0.00,79.52
2607935600,2026-02-07,2026-02-19,Completed,24.00,-1.20,0.00,0.00,3.90,1.56,-4.68,-4.48,0.00,-1.25,-0.54,-0.48,0.00,0.00,-0.18,-0.43,0.00,0.00,16.22
2607713702,2026-02-07,2026-02-19,Completed,24.00,0.00,0.00,0.00,3.90,1.56,-4.68,-4.48,0.00,-1.32,-0.54,-0.50,-2.40,0.00,-0.19,-0.43,0.00,0.00,14.92
2608201206,2026-02-08,2026-02-20,Completed,62.50,0.00,-3.12,0.00,0.00,0.00,0.00,0.00,0.00,-3.27,-1.42,-1.25,-6.25,31.25,-0.48,0.00,0.00,0.00,77.96
2608173404,2026-02-08,2026-02-20,Completed,62.50,-3.12,0.00,0.00,2.50,1.00,-3.00,-2.87,0.00,-3.27,-1.42,-1.25,0.00,31.25,-0.48,-0.27,0.00,0.00,81.57
2609471944,2026-02-09,2026-02-21,Completed,12.90,-1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.64,-0.29,-0.24,-1.29,0.00,-0.09,0.00,0.00,0.00,9.06
2609282465,2026-02-09,2026-02-21,Completed,129.00,0.00,-6.45,-2.58,0.00,0.00,0.00,0.00,0.00,-6.74,-2.93,-2.57,0.00,0.00,-0.98,0.00,-1.29,0.00,105.46
2610823818,2026-02-10,2026-02-22,Completed,12.90,0.00,-0.64,-0.26,2.50,1.00,-3.00,-2.87,0.00,-0.67,-0.29,-0.26,0.00,0.00,-0.10,-0.27,0.00,0.00,8.04
2610135336,2026-02-10,2026-02-22,Cancelled,129.00,0.00,0.00,0.00,2.50,1.00,-3.00,-2.87,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,-0.27,0.00,-129.00,-5.14
2611691223,2026-02-11,2026-02-23,Completed,89.00,-8.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.41,-2.02,-1.68,0.00,0.00,-0.65,0.00,0.00,0.00,71.34
2611514314,2026-02-11,2026-02-23,Completed,48.00,0.00,-2.40,0.00,0.00,0.00,0.00,0.00,0.00,-2.51,-1.09,-0.96,-4.80,0.00,-0.36,0.00,0.00,0.00,35.88
2612590946,2026-02-12,2026-02-24,Completed,210.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.55,-4.77,-4.41,0.00,0.00,-1.66,0.00,0.00,0.00,187.61
2612994021,2026-02-12,2026-02-24,Completed,19.50,0.00,0.00,0.00,2.50,1.00,-3.00,-2.87,0.00,-1.07,-0.44,-0.41,0.00,9.75,-0.15,-0.27,0.00,0.00,24.54
2613543423,2026-02-13,2026-02-25,Completed,129.00,0.00,0.00,-2.58,3.90,1.56,-4.68,-4.48,0.00,-7.09,-2.93,-2.71,0.00,0.00,-1.02,-0.43,0.00,0.00,108.54
2613126998,2026-02-13,2026-02-25,Completed,35.90,0.00,-1.79,0.00,2.50,1.00,-3.00,-2.87,0.00,-1.88,-0.81,-0.72,0.00,0.00,-0.27,-0.27,0.00,0.00,27.79
2614545918,2026-02-14,2026-02-26,Completed,24.00,0.00,0.00,-0.48,3.90,1.56,-4.68,-4.48,0.00,-1.32,-0.54,-0.50,0.00,0.00,-0.19,-0.43,0.00,0.00,16.84
2614626475,2026-02-14,2026-02-26,Completed,48.00,0.00,-2.40,-0.96,5.00,2.00,-6.00,-5.75,0.00,-2.51,-1.09,-0.96,-4.80,0.00,-0.36,-0.55,0.00,0.00,29.62
2615528960,2026-02-15,2026-02-27,Cancelled,19.50,0.00,-0.97,0.00,0.00,0.00,0.00,0.00,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-19.50,-3.47
2615411679,2026-02-15,2026-02-27,Completed,89.00,-8.90,-4.45,0.00,2.50,1.00,-3.00,-2.87,0.00,-4.16,-2.02,-1.59,-8.90,0.00,-0.62,-0.27,0.00,0.00,55.72
2616640075,2026-02-16,2026-02-28,Completed,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.64,-1.09,-1.01,0.00,0.00,-0.38,0.00,0.00,0.00,42.88
2616901293,2026-02-16,2026-02-28,Completed,24.00,0.00,0.00,-0.48,0.00,0.00,0.00,0.00,0.00,-1.32,-0.54,-0.50,0.00,0.00,-0.19,0.00,0.00,0.00,20.97
2617906302,2026-02-17,2026-02-28,Completed,129.00,0.00,0.00,0.00,2.50,1.00,-3.00,-2.87,0.00,-7.09,-2.93,-2.71,0.00,0.00,-1.02,-0.27,0.00,0.00,112.61
2617902577,2026-02-17,2026-02-28,Completed,35.90,0.00,0.00,0.00,3.90,1.56,-4.68,-4.48,0.00,-1.97,-0.81,-0.75,0.00,0.00,-0.28,-0.43,0.00,0.00,27.96
2618846302,2026-02-18,2026-02-28,Completed,19.50,-0.97,0.00,-0.39,2.50,1.00,-3.00,-2.87,0.00,-1.02,-0.44,-0.39,0.00,0.00,-0.15,-0.27,0.00,0.00,13.50
2618337281,2026-02-18,2026-02-28,Completed,12.90,-1.29,0.00,0.00,2.50,1.00,-3.00,-2.87,0.00,-0.64,-0.29,-0.24,-1.29,0.00,-0.09,-0.27,-0.13,0.00,6.29
