Created At,Transaction Type,Order No.,Credit (MYR),Debit (MYR),Status,Remarks
2026-03-02 10:15:00,Payment,234567890123,185.00,,Completed,Order payment received
2026-03-02 10:15:00,Lazada Commission,234567890123,,16.65,Completed,8% commission
2026-03-02 10:15:00,Shipping Fee,234567890123,,8.00,Completed,Shipping charge
2026-03-05 14:30:00,Payment,234567891234,320.00,,Completed,Order payment received
2026-03-05 14:30:00,Lazada Commission,234567891234,,28.80,Completed,9% commission
2026-03-05 14:30:00,Shipping Fee,234567891234,,8.00,Completed,Shipping charge
2026-03-07 09:00:00,Refund,234567890001,,185.00,Completed,Buyer return approved
2026-03-10 11:20:00,Payment,234567892345,97.50,,Completed,Order payment received
2026-03-10 11:20:00,Lazada Commission,234567892345,,8.78,Completed,9% commission
2026-03-10 11:20:00,Service Fee,234567892345,,5.00,Completed,Payment processing fee
2026-03-15 16:45:00,Payment,234567893456,450.00,,Completed,Order payment received
2026-03-15 16:45:00,Lazada Commission,234567893456,,40.50,Completed,9% commission
2026-03-15 16:45:00,Seller Voucher,234567893456,,20.00,Completed,Seller-funded voucher
2026-03-20 08:30:00,Payment,234567894567,210.00,,Completed,Order payment received
2026-03-20 08:30:00,Lazada Commission,234567894567,,18.90,Completed,9% commission
2026-03-28 10:00:00,Bank Transfer,,620.87,,Completed,Payout to bank account
