Date,Supplier,Item,SKU,Quantity,Unit Cost (MYR),Total (MYR),Invoice No.
2026-03-03,Packaging Express MY,Poly Mailer 25x35cm,PKG-PM-S,1000,0.35,350.00,PKG-INV-031
2026-03-03,Packaging Express MY,Poly Mailer 35x45cm,PKG-PM-M,500,0.55,275.00,PKG-INV-031
2026-03-03,Packaging Express MY,Poly Mailer 45x55cm,PKG-PM-L,300,0.75,225.00,PKG-INV-031
2026-03-03,Packaging Express MY,Bubble Wrap Roll 50m,PKG-BW-50,10,28.00,280.00,PKG-INV-031
2026-03-10,Carton World,Single Wall Carton A4,PKG-CTA4,500,1.20,600.00,PKG-INV-032
2026-03-10,Carton World,Single Wall Carton A3,PKG-CTA3,200,1.80,360.00,PKG-INV-032
2026-03-10,Carton World,Double Wall Carton Large,PKG-CTDL,100,3.50,350.00,PKG-INV-032
2026-03-15,Packaging Express MY,OPP Tape 48mm x 100m,PKG-TP-48,50,4.80,240.00,PKG-INV-033
2026-03-15,Packaging Express MY,Desiccant Sachets 5g (100pk),PKG-DS-5,20,12.00,240.00,PKG-INV-033
2026-03-20,Carton World,Thank You Card (printed),PKG-TYC,2000,0.15,300.00,PKG-INV-034
2026-03-20,Carton World,Tissue Paper Wrap,PKG-TIS,1000,0.08,80.00,PKG-INV-034
