Transaction Date,Transaction ID,Order SN,Buyer Username,Type,Amount,Status,Remarks
2026-03-01 09:12:00,TXN20260301001,2603011234567890,buyer_alice88,Buyer Payment,85.00,Completed,Order income
2026-03-01 11:45:00,TXN20260301002,2603011234567891,buyer_bob123,Buyer Payment,120.50,Completed,Order income
2026-03-02 08:30:00,TXN20260302003,2603021234567892,buyer_charlie,Buyer Payment,45.00,Completed,Order income
2026-03-02 14:20:00,TXN20260302004,2603021234567893,buyer_diana99,Buyer Payment,210.00,Completed,Order income
2026-03-03 10:05:00,TXN20260303005,2603031234567894,buyer_eric77,Buyer Payment,67.90,Completed,Order income
2026-03-03 16:33:00,TXN20260303006,2603031234567895,buyer_fiona,Buyer Payment,155.00,Completed,Order income
2026-03-04 09:50:00,TXN20260304007,2603041234567896,buyer_george,Buyer Payment,98.00,Completed,Order income
2026-03-04 13:15:00,TXN20260304008,2603041234567897,buyer_hannah,Buyer Payment,"1,300.00",Completed,Order income - high value item with comma in amount
2026-03-04 15:00:00,TXN20260304009,2603041234567898,buyer_ivan,Buyer Payment,50.00,Pending,Order income
2026-03-04 16:00:00,TXN20260304010,2603041234567899,buyer_jane,Buyer Payment,75.00,Cancelled,Cancelled by buyer
2026-03-05 10:40:00,TXN20260305011,2603051234567900,buyer_kevin,Buyer Payment,75.50,Completed,Order income
2026-03-05 15:00:00,TXN20260305012,2603051234567901,buyer_linda,Buyer Payment,189.00,Completed,Order income
2026-03-05 10:00:00,TXN20260305013,2603021234567892,buyer_charlie,Refund to Buyer,-8.00,Completed,Partial refund - item not received
2026-03-06 08:20:00,TXN20260306014,2603061234567902,buyer_mike,Buyer Payment,55.00,Completed,Order income
2026-03-06 11:10:00,TXN20260306015,2603061234567903,buyer_nancy,Buyer Payment,430.00,Completed,Order income
2026-03-07 09:05:00,TXN20260307016,2603071234567904,buyer_oscar,Buyer Payment,112.00,Completed,Order income
2026-03-07 14:45:00,TXN20260307017,2603071234567905,buyer_penny,Buyer Payment,88.50,Completed,Order income
2026-03-08 00:00:00,TXN20260308018,,system,Shopee Commission,-88.15,Completed,Commission fee Week 1 (Mar 1-7)
2026-03-08 00:00:00,TXN20260308019,,system,Transaction Fee,-5.50,Completed,Payment transaction fee Week 1
2026-03-08 00:00:00,TXN20260308020,,system,Shipping Fee,-38.50,Completed,Shipping subsidy deduction Week 1
2026-03-08 10:30:00,TXN20260308021,2603081234567906,buyer_quinn,Buyer Payment,175.00,Completed,Order income
2026-03-09 09:00:00,TXN20260309022,2603091234567907,buyer_rachel,Buyer Payment,62.00,Completed,Order income
2026-03-09 13:25:00,TXN20260309023,2603091234567908,buyer_steve,Buyer Payment,245.00,Completed,Order income
2026-03-10 11:55:00,TXN20260310024,2603101234567909,buyer_tina,Buyer Payment,33.00,Completed,Order income
2026-03-10 14:30:00,TXN20260310025,2603061234567902,buyer_mike,Refund to Buyer,-10.00,Completed,Partial refund - damaged packaging
2026-03-10 16:10:00,TXN20260310026,2603101234567910,buyer_uma,Buyer Payment,199.90,Completed,Order income
2026-03-11 00:00:00,TXN20260311027,,system,Seller Voucher,-85.00,Completed,Shopee 3.3 campaign voucher deduction
2026-03-11 00:00:00,TXN20260311028,,system,Shopee Voucher,-20.00,Completed,Platform voucher subsidy absorbed by seller
2026-03-11 08:45:00,TXN20260311029,2603111234567911,buyer_victor,Buyer Payment,520.00,Completed,Order income
2026-03-11 14:00:00,TXN20260311030,2603111234567912,buyer_wendy,Buyer Payment,77.00,Completed,Order income
2026-03-12 10:20:00,TXN20260312031,2603121234567913,buyer_xander,Buyer Payment,140.00,Completed,Order income
2026-03-12 15:35:00,TXN20260312032,2603121234567914,buyer_yara,Buyer Payment,93.50,Completed,Order income
2026-03-13 09:15:00,TXN20260313033,2603131234567915,buyer_zane,Buyer Payment,380.00,Completed,Order income
2026-03-13 12:50:00,TXN20260313034,2603131234567916,buyer_alice88,Buyer Payment,58.00,Completed,Order income
2026-03-14 09:15:00,TXN20260314035,2603101234567909,buyer_tina,Refund to Buyer,-5.00,Completed,Partial refund - missing accessory
2026-03-14 10:00:00,TXN20260314036,2603141234567917,buyer_bob123,Buyer Payment,167.00,Completed,Order income
2026-03-14 13:40:00,TXN20260314037,2603141234567918,buyer_charlie,Buyer Payment,290.00,Completed,Order income
2026-03-15 00:00:00,TXN20260315038,,system,Shopee Commission,-104.70,Completed,Commission fee Week 2 (Mar 8-14)
2026-03-15 00:00:00,TXN20260315039,,system,Transaction Fee,-6.20,Completed,Payment transaction fee Week 2
2026-03-15 00:00:00,TXN20260315040,,system,Shipping Fee,-42.00,Completed,Shipping subsidy deduction Week 2
2026-03-15 09:30:00,TXN20260315041,2603151234567919,buyer_diana99,Buyer Payment,44.00,Completed,Order income
2026-03-15 14:55:00,TXN20260315042,2603151234567920,buyer_eric77,Buyer Payment,105.00,Completed,Order income
2026-03-16 11:20:00,TXN20260316043,2603161234567921,buyer_fiona,Buyer Payment,225.00,Completed,Order income
2026-03-17 08:55:00,TXN20260317044,2603171234567922,buyer_george,Buyer Payment,70.00,Completed,Order income
2026-03-17 12:30:00,TXN20260317045,2603171234567923,buyer_hannah,Buyer Payment,315.00,Completed,Order income
2026-03-18 10:10:00,TXN20260318046,2603181234567924,buyer_ivan,Buyer Payment,82.50,Completed,Order income
2026-03-18 15:25:00,TXN20260318047,2603181234567925,buyer_jane,Buyer Payment,148.00,Completed,Order income
